"A222";"Colinas";"MA";"-6.033167";"-44.233402";175.37
"A311";"Floriano";"PI";"-6.761438";"-43.003396";126.39
"A354";"Oeiras";"PI";"-6.974135";"-42.146831";154.03
"A363";"ValenÃ§a do Piaui";"PI";"-6.399274";"-41.739953";313.39
"A324";"TauÃ¡";"CE";"-6.017474";"-40.281321";410.87
"A319";"Iguatu";"CE";"-6.396375";"-39.268954";221.56
"A316";"CaicÃ³";"RN";"-6.467474";"-37.084931";171.26
"A367";"Santa Cruz";"RN";"-6.227922";"-36.026587";227.49
"A310";"Areia";"PB";"-6.975451";"-35.718128";573.45
"A352";"Camaratuba";"PB";"-6.561813";"-35.135316";135.51
"A111";"LÃ¡brea";"AM";"-7.260680";"-64.788500";61.91
"A112";"HumaitÃ¡";"AM";"-7.552520";"-63.071343";53.56
"A113";"Apui";"AM";"-7.205475";"-59.888561";156.97
"A208";"Floresta do Araguaia";"PA";"-7.56167";"-49.6981";185.00
"A021";"Araguaina";"TO";"-7.103954";"-48.201231";230.76
"A205";"Carolina";"MA";"-7.337269";"-47.459839";182.88
"A043";"Campos Lindos";"TO";"-8.154665";"-46.639323";426.56
"A204";"Balsas";"MA";"-7.455609";"-46.027546";271.03
"A346";"UruÃ§ui";"PI";"-7.441420";"-44.345055";398.83
"A343";"Picos";"PI";"-7.071016";"-41.404042";232.91
"A347";"Campos Sales";"CE";"-7.077730";"-40.362678";577.95
"A366";"Ouricuri";"PI";"-7.88472";"-40.1011";464.00
"A315";"Barbalha";"CE";"-7.300925";"-39.271107";409.41
"A350";"Serra Talhada";"PE";"-7.954277";"-38.295082";499.02
"A321";"Patos";"PB";"-7.079814";"-37.272852";263.66
"A334";"Monteiro";"PB";"-7.894465";"-37.124704";606.39
"A348";"Cabaceiras";"PB";"-7.483206";"-36.286469";391.96
"A313";"Campina Grande";"PB";"-7.225574";"-35.904831";546.17
"A328";"Surubim";"PE";"-7.839628";"-35.801056";421.44
"A320";"JoÃ£o Pessoa";"PB";"-7.165409";"-34.815627";33.50
"A136";"Porto Walter";"AC";"-8.267197";"-72.747838";205.35
"A137";"Marechal Thaumaturgo";"AC";"-8.950008";"-72.786778";220.98
"A138";"Feijo";"AC";"-8.142654";"-70.343594";157.17
"A110";"Boca do Acre";"AM";"-8.776804";"-67.332557";111.98
"A925";"Porto Velho";"RO";"-8.793662";"-63.845931";86.70
"A241";"ConceiÃ§Ã£o do Araguaia";"PA";"-8.30361";"-49.28277";175.74
"A020";"Pedro Afonso";"TO";"-8.968677";"-48.177259";189.71
"A330";"Paulistana";"PI";"-8.132288";"-41.142945";376.00
"A329";"CabrobÃ³";"PE";"-8.504000";"-39.315280";342.74
"A351";"Floresta";"PE";"-8.61028";"-38.5922";329.00
"A309";"Arco Verde";"PE";"-8.433544";"-37.055477";683.95
"A349";"Ibimirim";"PE";"-8.509552";"-37.711591";434.23
"A322";"Garanhuns";"PE";"-8.910950";"-36.493381";827.78
"A341";"Caruaru";"PE";"-8.236069";"-35.985550";570.05
"A357";"Palmares";"PE";"-8.666667";"-35.567921";164.01
"A301";"Recife";"PE";"-8.059280";"-34.959239";11.30
"A102";"Parque Estadual Chandless";"AC";"-9.358353";"-69.926257";184.51
"A104";"Rio Branco";"AC";"-9.957844";"-68.165169";223.52
"A940";"Ariquemes";"RO";"-9.949001";"-62.961873";128.44
"A919";"CotriguaÃ§u";"MT";"-9.906296";"-58.572235";265.00
"A910";"ApiacÃ¡s";"MT";"-9.563392";"-57.393578";217.75
"A924";"Alta Floresta";"MT";"-10.077262";"-56.179221";291.85
"A926";"Carlinda";"MT";"-9.970586";"-55.827543";293.71
"A906";"GuarantÃ£ do Norte";"MT";"-9.952594";"-54.897834";283.58
"A233";"Santana do Araguaia";"PA";"-9.338611";"-50.35028";176.75
"A041";"MarianÃ³polis do Tocantins";"TO";"-9.576389";"-49.72333";186.69
"A223";"Alto Parnaiba";"MA";"-9.108199";"-45.932016";283.69
"A364";"GilbuÃ©s";"PI";"-9.875196";"-45.345805";425.10
"A326";"Bom Jesus do Piaui";"PI";"-9.0833333";"-44.3263889";297.00
"A337";"Caracol";"PI";"-9.285880";"-43.324438";515.30
"A345";"SÃ£o Raimundo Nonato";"PI";"-9.033211";"-42.701112";383.13
"A423";"Remanso";"BA";"-9.625693";"-42.077214";397.40
"A307";"Petrolina";"PE";"-9.388323";"-40.523262";372.72
"A435";"Uaua";"BA";"-9.833617";"-39.495631";450.60
"A411";"Paulo Afonso";"BA";"-9.378106";"-38.226771";255.04
"A323";"PÃ£o de AÃ§ucar";"AL";"-9.749220";"-37.430765";20.83
"A327";"Palmeira dos Indios";"AL";"-9.420334";"-36.620371";278.01
"A353";"Arapiraca";"AL";"-9.804551";"-36.619198";236.84
"A356";"SÃ£o Luis do Quitunde";"AL";"-9.287481";"-35.565878";13.69
"A303";"Maceio";"AL";"-9.551168";"-35.770195";84.12
"A918";"Confresa";"MT";"-10.639518";"-51.571456";233.28
"A009";"Palmas";"TO";"-10.190744";"-48.301811";291.87
"A040";"Mateiros";"TO";"-10.43444";"-45.92194";791.00
"A432";"Buritirama";"BA";"-10.722925";"-43.651203";506.06
"A443";"Delfino";"BA";"-10.454920";"-41.206996";646.24
"A428";"Senhor do Bonfim";"BA";"-10.443072";"-40.148244";532.09
"A436";"Queimadas";"BA";"-10.984645";"-39.617009";310.11
"A442";"Euclides da Cunha";"BA";"-10.537233";"-38.996605";431.96
"A419";"PoÃ§o Verde";"SE";"-10.738020";"-38.108389";367.01
"A420";"Carira";"SE";"-10.399719";"-37.747503";289.92
"A409";"Aracaju";"SE";"-10.952413";"-37.054330";3.72
"A421";"Brejo Grande";"SE";"-10.473959";"-36.482051";6.11
"A355";"Coruripe";"AL";"-10.128482";"-36.286348";82.39
"A140";"Epitaciolandia";"AC";"-11.023752";"-68.735180";224.50
"A939";"Cacoal";"RO";"-11.445837";"-61.434146";183.53
"A920";"Juina";"MT";"-11.375126";"-58.774785";365.39
"A914";"Juara";"MT";"-11.280158";"-57.526641";263.43
"A917";"Sinop";"MT";"-11.982245";"-55.565993";366.57
